local_name,geo_lat,geo_lng,country,province,gmt,full_text
ertis,53.34530845,75.44990596,Kazakhstan,Pavlodar,6,ertis - Pavlodar - Kazakhstan
kachiry,53.08036338,76.08997025,Kazakhstan,Pavlodar,6,kachiry - Pavlodar - Kazakhstan
ekibastuz,51.72998069,75.31993974,Kazakhstan,Pavlodar,6,ekibastuz - Pavlodar - Kazakhstan
pavlodar,52.29999758,76.95002112,Kazakhstan,Pavlodar,6,pavlodar - Pavlodar - Kazakhstan
osakarovka,50.57994753,72.56992672,Kazakhstan,Qaraghandy,6,osakarovka - Qaraghandy - Kazakhstan
aqadyr,48.27486859,72.85988318,Kazakhstan,Qaraghandy,6,aqadyr - Qaraghandy - Kazakhstan
saryshaghan,46.11954795,73.61911332,Kazakhstan,Qaraghandy,6,saryshaghan - Qaraghandy - Kazakhstan
qarazhal,48.02527142,70.79990556,Kazakhstan,Qaraghandy,6,qarazhal - Qaraghandy - Kazakhstan
atasu,48.69032127,71.64993119,Kazakhstan,Qaraghandy,6,atasu - Qaraghandy - Kazakhstan
temirtau,50.06501772,72.96499304,Kazakhstan,Qaraghandy,6,temirtau - Qaraghandy - Kazakhstan
zhezqazghan,47.77998924,67.77001298,Kazakhstan,Qaraghandy,6,zhezqazghan - Qaraghandy - Kazakhstan
qarqaraly,49.42490175,75.46489213,Kazakhstan,Qaraghandy,6,qarqaraly - Qaraghandy - Kazakhstan
balqash,46.8532241,74.95024654,Kazakhstan,Qaraghandy,6,balqash - Qaraghandy - Kazakhstan
qaraghandy,49.88497703,73.11500972,Kazakhstan,Qaraghandy,6,qaraghandy - Qaraghandy - Kazakhstan
turgay,49.62600011,63.49899651,Kazakhstan,Qostanay,6,turgay - Qostanay - Kazakhstan
zhetiqara,52.19297569,61.23992061,Kazakhstan,Qostanay,6,zhetiqara - Qostanay - Kazakhstan
komsomolets,53.75055503,62.05020707,Kazakhstan,Qostanay,6,komsomolets - Qostanay - Kazakhstan
tobol,52.69800946,62.57492956,Kazakhstan,Qostanay,6,tobol - Qostanay - Kazakhstan
qusmuryn,52.45799827,64.59997392,Kazakhstan,Qostanay,6,qusmuryn - Qostanay - Kazakhstan
arqalyq,50.24180279,66.89761145,Kazakhstan,Qostanay,6,arqalyq - Qostanay - Kazakhstan
oostanay,53.22089744,63.62830196,Kazakhstan,Qostanay,6,oostanay - Qostanay - Kazakhstan
rudny,52.95269676,63.1300378,Kazakhstan,Qostanay,6,rudny - Qostanay - Kazakhstan
zhosaly,45.48772605,64.07804195,Kazakhstan,Qyzylorda,6,zhosaly - Qyzylorda - Kazakhstan
shieli,44.16700563,66.75002356,Kazakhstan,Qyzylorda,6,shieli - Qyzylorda - Kazakhstan
baykonur,45.69135703,63.24134884,Kazakhstan,Qyzylorda,6,baykonur - Qyzylorda - Kazakhstan
qazaly,45.7627997,62.10751623,Kazakhstan,Qyzylorda,6,qazaly - Qyzylorda - Kazakhstan
aral,46.79997154,61.66661291,Kazakhstan,Qyzylorda,6,aral - Qyzylorda - Kazakhstan
qyzylorda,44.80001609,65.46498572,Kazakhstan,Qyzylorda,6,qyzylorda - Qyzylorda - Kazakhstan
lenger,42.18991701,69.87991003,Kazakhstan,South Kazakhstan,6,lenger - South Kazakhstan - Kazakhstan
kentau,43.5165027,68.51988969,Kazakhstan,South Kazakhstan,6,kentau - South Kazakhstan - Kazakhstan
arys,42.43687868,68.80483354,Kazakhstan,South Kazakhstan,6,arys - South Kazakhstan - Kazakhstan
turkistan,43.30155458,68.25489294,Kazakhstan,South Kazakhstan,6,turkistan - South Kazakhstan - Kazakhstan
shymkent,42.32001243,69.59501786,Kazakhstan,South Kazakhstan,6,shymkent - South Kazakhstan - Kazakhstan
chapaev,50.19149579,51.14492956,Kazakhstan,West Kazakhstan,6,chapaev - West Kazakhstan - Kazakhstan
zhanibek,49.4276406,46.8772314,Kazakhstan,West Kazakhstan,6,zhanibek - West Kazakhstan - Kazakhstan
aqsay,51.17143597,53.03489172,Kazakhstan,West Kazakhstan,6,aqsay - West Kazakhstan - Kazakhstan
oral,51.27111981,51.33499548,Kazakhstan,West Kazakhstan,6,oral - West Kazakhstan - Kazakhstan
burylbaytal,44.93874147,74.03025102,Kazakhstan,Zhambyl,6,burylbaytal - Zhambyl - Kazakhstan
shu,43.59525759,73.74484208,Kazakhstan,Zhambyl,6,shu - Zhambyl - Kazakhstan
qulan,42.92036338,72.70495723,Kazakhstan,Zhambyl,6,qulan - Zhambyl - Kazakhstan
oytal,42.91529909,73.25489783,Kazakhstan,Zhambyl,6,oytal - Zhambyl - Kazakhstan
qaratau,43.18538597,70.45997799,Kazakhstan,Zhambyl,6,qaratau - Zhambyl - Kazakhstan
taraz,42.89997703,71.36498734,Kazakhstan,Zhambyl,6,taraz - Zhambyl - Kazakhstan
nyeri,-0.41699699,36.95100363,Kenya,Central,3,nyeri - Central - Kenya
thika,-1.03958901,37.09002519,Kenya,Central,3,thika - Central - Kenya
witu,-2.37961057,40.43002803,Kenya,Coast,3,witu - Coast - Kenya
tsavo,-2.98277789,38.46663367,Kenya,Coast,3,tsavo - Coast - Kenya
voi,-3.36957599,38.56998653,Kenya,Coast,3,voi - Coast - Kenya
kilifi,-3.60961301,39.85001176,Kenya,Coast,3,kilifi - Coast - Kenya
lamu,-2.26204362,40.91966643,Kenya,Coast,3,lamu - Coast - Kenya
malindi,-3.20999916,40.10002234,Kenya,Coast,3,malindi - Coast - Kenya
mombasa,-4.04002602,39.68991817,Kenya,Coast,3,mombasa - Coast - Kenya
mwingi,-0.92956988,38.07001705,Kenya,Eastern,3,mwingi - Eastern - Kenya
embu,-0.51956907,37.45000321,Kenya,Eastern,3,embu - Eastern - Kenya
machakos,-1.50953448,37.25998897,Kenya,Eastern,3,machakos - Eastern - Kenya
marsabit,2.329998595,37.9799967,Kenya,Eastern,3,marsabit - Eastern - Kenya
moyale,3.51997764,39.05000891,Kenya,Eastern,3,moyale - Eastern - Kenya
meru,0.059982116,37.64001745,Kenya,Eastern,3,meru - Eastern - Kenya
nairobi,-1.28334674,36.81665686,Kenya,Nairobi,3,nairobi - Nairobi - Kenya
wajir,1.750369892,40.04999955,Kenya,North-Eastern,3,wajir - North-Eastern - Kenya
garissa,-0.43962563,39.67002274,Kenya,North-Eastern,3,garissa - North-Eastern - Kenya
kendu bay,-0.35957883,34.63999385,Kenya,Nyanza,3,kendu bay - Nyanza - Kenya
karungu,-0.84962644,34.14999792,Kenya,Nyanza,3,karungu - Nyanza - Kenya
kisii,-0.66958575,34.75998653,Kenya,Nyanza,3,kisii - Nyanza - Kenya
kisumu,-0.09003456,34.75001298,Kenya,Nyanza,3,kisumu - Nyanza - Kenya
nanyuki,0.020397968,37.06000118,Kenya,Rift Valley,3,nanyuki - Rift Valley - Kenya
maralal,1.110460631,36.68002437,Kenya,Rift Valley,3,maralal - Rift Valley - Kenya
konza,-1.74962319,37.11999752,Kenya,Rift Valley,3,konza - Rift Valley - Kenya
lodwar,3.130389017,35.57001461,Kenya,Rift Valley,3,lodwar - Rift Valley - Kenya
eldama ravine,0.050370299,35.72003129,Kenya,Rift Valley,3,eldama ravine - Rift Valley - Kenya
sotik,-0.6795593,35.12001623,Kenya,Rift Valley,3,sotik - Rift Valley - Kenya
namanga,-2.53960081,36.80001705,Kenya,Rift Valley,3,namanga - Rift Valley - Kenya
naivasha,-0.70958331,36.42996212,Kenya,Rift Valley,3,naivasha - Rift Valley - Kenya
kericho,-0.35957883,35.28000647,Kenya,Rift Valley,3,kericho - Rift Valley - Kenya
kitale,1.030465514,34.98994665,Kenya,Rift Valley,3,kitale - Rift Valley - Kenya
nakuru,-0.27999713,36.06998409,Kenya,Rift Valley,3,nakuru - Rift Valley - Kenya
eldoret,0.520005716,35.26998124,Kenya,Rift Valley,3,eldoret - Rift Valley - Kenya
bungoma,0.570390237,34.55999874,Kenya,Western,3,bungoma - Western - Kenya
kakamega,0.290407327,34.7300142,Kenya,Western,3,kakamega - Western - Kenya
tarawa,1.338187506,173.0175708,Kiribati,,12,tarawa -  - Kiribati
pristina,42.66670961,21.16598425,Kosovo,Pristina,0,pristina - Pristina - Kosovo
prizren,42.22932029,20.75009232,Kosovo,Prizren,0,prizren - Prizren - Kosovo
